"DateTime","Electrical ( kWh )"
"2015-12-26 00:00:00",4512
"2015-12-27 00:00:00",4548
"2015-12-28 00:00:00",4974
"2015-12-29 00:00:00",5442
"2015-12-30 00:00:00",5289
"2015-12-31 00:00:00",5105
"2016-01-01 00:00:00",4663
"2016-01-02 00:00:00",4767
"2016-01-03 00:00:00",5039
"2016-01-04 00:00:00",7476
"2016-01-05 00:00:00",7101
"2016-01-06 00:00:00",7199
"2016-01-07 00:00:00",7030
"2016-01-08 00:00:00",7175
"2016-01-09 00:00:00",6389
"2016-01-10 00:00:00",6237
"2016-01-11 00:00:00",7539
"2016-01-12 00:00:00",7455
"2016-01-13 00:00:00",7431
"2016-01-14 00:00:00",7491
"2016-01-15 00:00:00",7348
"2016-01-16 00:00:00",6554
"2016-01-17 00:00:00",6411
"2016-01-18 00:00:00",7020
"2016-01-19 00:00:00",7842
"2016-01-20 00:00:00",7934
"2016-01-21 00:00:00",7897
"2016-01-22 00:00:00",8027
"2016-01-23 00:00:00",7018
"2016-01-24 00:00:00",6687
"2016-01-25 00:00:00",8012
"2016-01-26 00:00:00",8196
"2016-01-27 00:00:00",8173
"2016-01-28 00:00:00",8139
"2016-01-29 00:00:00",7737
"2016-01-30 00:00:00",6705
"2016-01-31 00:00:00",6586
"2016-02-01 00:00:00",8184
"2016-02-02 00:00:00",8001
"2016-02-03 00:00:00",8077
"2016-02-04 00:00:00",8251
"2016-02-05 00:00:00",8051
"2016-02-06 00:00:00",6755
"2016-02-07 00:00:00",6457
"2016-02-08 00:00:00",8076
"2016-02-09 00:00:00",8069
"2016-02-10 00:00:00",8238
"2016-02-11 00:00:00",8076
"2016-02-12 00:00:00",7969
"2016-02-13 00:00:00",6629
"2016-02-14 00:00:00",6423
"2016-02-15 00:00:00",7919
"2016-02-16 00:00:00",8087
"2016-02-17 00:00:00",8193
"2016-02-18 00:00:00",8211
"2016-02-19 00:00:00",8031
"2016-02-20 00:00:00",6756
"2016-02-21 00:00:00",6472
"2016-02-22 00:00:00",8387
"2016-02-23 00:00:00",8387
"2016-02-24 00:00:00",8218
"2016-02-25 00:00:00",8218
"2016-02-26 00:00:00",16017
"2016-02-27 00:00:00",6527
"2016-02-28 00:00:00",6244
"2016-02-29 00:00:00",7992
"2016-03-01 00:00:00",7960
"2016-03-02 00:00:00",8264
"2016-03-03 00:00:00",8335
"2016-03-04 00:00:00",8092
"2016-03-05 00:00:00",6878
"2016-03-06 00:00:00",6486
"2016-03-07 00:00:00",7903
"2016-03-08 00:00:00",8272
"2016-03-09 00:00:00",7657
"2016-03-10 00:00:00",7792
"2016-03-11 00:00:00",7490
"2016-03-12 00:00:00",6503
"2016-03-13 00:00:00",5760
"2016-03-14 00:00:00",7476
"2016-03-15 00:00:00",7791
"2016-03-16 00:00:00",7538
"2016-03-17 00:00:00",7431
"2016-03-18 00:00:00",7144
"2016-03-19 00:00:00",6445
"2016-03-20 00:00:00",6286
"2016-03-21 00:00:00",8081
"2016-03-22 00:00:00",8342
"2016-03-23 00:00:00",8396
"2016-03-24 00:00:00",8299
"2016-03-25 00:00:00",7827
"2016-03-26 00:00:00",6404
"2016-03-27 00:00:00",6529
"2016-03-28 00:00:00",8772
"2016-03-29 00:00:00",8632
"2016-03-30 00:00:00",8461
"2016-03-31 00:00:00",8286
"2016-04-01 00:00:00",7949
"2016-04-02 00:00:00",6768
"2016-04-03 00:00:00",6754
"2016-04-04 00:00:00",8137
"2016-04-05 00:00:00",8330
"2016-04-06 00:00:00",8270
"2016-04-07 00:00:00",8296
"2016-04-08 00:00:00",7909
"2016-04-09 00:00:00",6423
"2016-04-10 00:00:00",6494
"2016-04-11 00:00:00",8468
"2016-04-12 00:00:00",8437
"2016-04-13 00:00:00",8403
"2016-04-14 00:00:00",8366
"2016-04-15 00:00:00",8133
"2016-04-16 00:00:00",6926
"2016-04-17 00:00:00",6604
"2016-04-18 00:00:00",7784
"2016-04-19 00:00:00",8261
"2016-04-20 00:00:00",8331
"2016-04-21 00:00:00",8083
"2016-04-22 00:00:00",8046
"2016-04-23 00:00:00",7050
"2016-04-24 00:00:00",6796
"2016-04-25 00:00:00",8540
"2016-04-26 00:00:00",8784
"2016-04-27 00:00:00",8841
"2016-04-28 00:00:00",8912
"2016-04-29 00:00:00",8752
"2016-04-30 00:00:00",7931
"2016-05-01 00:00:00",7820
"2016-05-02 00:00:00",8664
"2016-05-03 00:00:00",8456
"2016-05-04 00:00:00",8064
"2016-05-05 00:00:00",8589
"2016-05-06 00:00:00",8202
"2016-05-07 00:00:00",7371
"2016-05-08 00:00:00",6306
"2016-05-09 00:00:00",7526
"2016-05-10 00:00:00",8118
"2016-05-11 00:00:00",8109
"2016-05-12 00:00:00",7995
"2016-05-13 00:00:00",7939
"2016-05-14 00:00:00",6848
"2016-05-15 00:00:00",6408
"2016-05-16 00:00:00",7519
"2016-05-17 00:00:00",7609
"2016-05-18 00:00:00",7274
"2016-05-19 00:00:00",6724
"2016-05-20 00:00:00",7017
"2016-05-21 00:00:00",6131
"2016-05-22 00:00:00",5916
"2016-05-23 00:00:00",6927
"2016-05-24 00:00:00",7550
"2016-05-25 00:00:00",7814
"2016-05-26 00:00:00",7472
"2016-05-27 00:00:00",6578
"2016-05-28 00:00:00",5056
"2016-05-29 00:00:00",5187
"2016-05-30 00:00:00",5302
"2016-05-31 00:00:00",7450
"2016-06-01 00:00:00",7659
"2016-06-02 00:00:00",7434
"2016-06-03 00:00:00",7738
"2016-06-04 00:00:00",6575
"2016-06-05 00:00:00",6170
"2016-06-06 00:00:00",7692
"2016-06-07 00:00:00",8514
"2016-06-08 00:00:00",8664
"2016-06-09 00:00:00",8683
"2016-06-10 00:00:00",8218
"2016-06-11 00:00:00",7234
"2016-06-12 00:00:00",7289
"2016-06-13 00:00:00",8532
"2016-06-14 00:00:00",8690
"2016-06-15 00:00:00",8487
"2016-06-16 00:00:00",8393
"2016-06-17 00:00:00",8351
"2016-06-18 00:00:00",7452
"2016-06-19 00:00:00",7124
"2016-06-20 00:00:00",8284
"2016-06-21 00:00:00",8269
"2016-06-22 00:00:00",8466
"2016-06-23 00:00:00",8567
"2016-06-24 00:00:00",8371
"2016-06-25 00:00:00",7364
"2016-06-26 00:00:00",6946
"2016-06-27 00:00:00",8222
"2016-06-28 00:00:00",8229
"2016-06-29 00:00:00",8179
"2016-06-30 00:00:00",8475
"2016-07-01 00:00:00",8007
"2016-07-02 00:00:00",5219
"2016-07-03 00:00:00",5039
"2016-07-04 00:00:00",5032
"2016-07-05 00:00:00",7952
"2016-07-06 00:00:00",7472
"2016-07-07 00:00:00",7762
"2016-07-08 00:00:00",7660
"2016-07-09 00:00:00",6773
"2016-07-10 00:00:00",6357
"2016-07-11 00:00:00",7718
"2016-07-12 00:00:00",7755
"2016-07-13 00:00:00",7926
